Treatment,NomincalNickel,DissolvedNi,FreeIon,Snail,Time,Day,Size,Weight,Reproduction
Ni1,5,6.24,2.44,Green1,1,180,26.8,1.346,0
Ni1,5,6.24,2.44,Green2,1,180,27.1,1.747,0
Ni1,5,6.24,2.44,Green3,1,180,31.6,2.555,0
Ni1,5,6.24,2.44,Green4,1,180,29.3,2.085,0
Ni1,5,6.24,2.44,Green5,1,180,30.3,2.24,0
Ni1,5,6.24,2.44,Green6,1,180,27.3,1.884,0
Ni1,5,6.24,2.44,Green7,1,180,29.2,1.893,0
Ni1,5,6.24,2.44,Green8,1,180,29.5,2.24,0
Ni1,5,6.24,2.44,Green9,1,180,28.4,2.025,0
Ni1,5,6.24,2.44,Green10,1,180,30,2.118,0
Ni1,5,6.24,2.44,Green11,1,180,26.6,1.919,0
Ni1,5,6.24,2.44,Green12,1,180,30.9,2.733,0
Ni1,5,6.24,2.44,Green13,1,180,27.7,1.906,0
Ni1,5,6.24,2.44,Green14,1,180,28.8,2.138,0
Ni1,5,6.24,2.44,Green15,1,180,28.9,1.914,0
Ni1,5,6.24,2.44,Green16,1,180,28.1,1.916,0
Ni1,5,6.24,2.44,Green17,1,180,29.2,2.052,0
Ni1,5,6.24,2.44,Green18,1,180,29.5,2.327,0
Ni1,5,6.24,2.44,Green19,1,180,28.7,1.704,0
Ni1,5,6.24,2.44,Green20,1,180,27.4,2.021,0
Ni1,5,6.24,2.44,Green21,1,180,28.3,1.822,0
Ni1,5,6.24,2.44,Green22,1,180,29.1,2.113,0
Ni1,5,6.24,2.44,Green23,1,180,29,2.221,0
Ni1,5,6.24,2.44,Green24,1,180,31.7,2.386,0
Ni1,5,6.24,2.44,Green25,1,180,28.6,1.963,0
Ni1,5,6.24,2.44,Green26,1,180,32.1,2.722,0
Ni1,5,6.24,2.44,Green27,1,180,29.4,2.339,0
Ni1,5,6.24,2.44,Green28,1,180,27.8,2.077,0
Ni1,5,6.24,2.44,Green29,1,180,28.9,2.285,0
Ni1,5,6.24,2.44,Green30,1,180,27.7,2.078,0
Ni2,12,12.72,4.97,Blue1,1,180,28,1.886,0
Ni2,12,12.72,4.97,Blue2,1,180,28.5,1.995,0
Ni2,12,12.72,4.97,Blue3,1,180,28.4,2.078,0
Ni2,12,12.72,4.97,Blue4,1,180,30,1.885,0
Ni2,12,12.72,4.97,Blue5,1,180,28.3,1.823,0
Ni2,12,12.72,4.97,Blue6,1,180,28.1,2.019,0
Ni2,12,12.72,4.97,Blue7,1,180,29.9,2.347,0
Ni2,12,12.72,4.97,Blue8,1,180,29.5,2.275,0
Ni2,12,12.72,4.97,Blue9,1,180,30.2,2.663,0
Ni2,12,12.72,4.97,Blue10,1,180,27.9,1.845,0
Ni2,12,12.72,4.97,Blue11,1,180,27.8,2.054,0
Ni2,12,12.72,4.97,Blue12,1,180,27.5,2.02,0
Ni2,12,12.72,4.97,Blue13,1,180,25.6,1.461,0
Ni2,12,12.72,4.97,Blue14,1,180,28.7,2.136,0
Ni2,12,12.72,4.97,Blue15,1,180,27,1.711,0
Ni2,12,12.72,4.97,Blue16,1,180,27.9,1.593,0
Ni2,12,12.72,4.97,Blue17,1,180,28.4,2.12,0
Ni2,12,12.72,4.97,Blue18,1,180,30.3,2.581,0
