Hour,ExposureDay,Day,Ni_Snail,Ni_Water
0,0,45,0,50.6
1,0.041666667,45.04166667,0.029942989,50.6
2,0.083333333,45.08333333,0.059534727,50.6
3,0.125,45.125,0.088779335,50.6
4,0.166666667,45.16666667,0.117680884,50.6
5,0.208333333,45.20833333,0.146243399,50.6
6,0.25,45.25,0.174470858,50.6
7,0.291666667,45.29166667,0.20236719,50.6
8,0.333333333,45.33333333,0.229936279,50.6
9,0.375,45.375,0.257181965,50.6
10,0.416666667,45.41666667,0.284108042,50.6
11,0.458333333,45.45833333,0.310718258,50.6
12,0.5,45.5,0.337016319,50.6
13,0.541666667,45.54166667,0.363005886,50.6
14,0.583333333,45.58333333,0.388690579,50.6
15,0.625,45.625,0.414073974,50.6
16,0.666666667,45.66666667,0.439159605,50.6
17,0.708333333,45.70833333,0.463950965,50.6
18,0.75,45.75,0.488451506,50.6
19,0.791666667,45.79166667,0.512664639,50.6
20,0.833333333,45.83333333,0.536593737,50.6
21,0.875,45.875,0.560242131,50.6
22,0.916666667,45.91666667,0.583613114,50.6
23,0.958333333,45.95833333,0.60670994,50.6
24,1,46,0.629535825,50.6
25,1.041666667,46.04166667,0.652093948,50.6
26,1.083333333,46.08333333,0.674387449,50.6
27,1.125,46.125,0.696419433,50.6
28,1.166666667,46.16666667,0.718192967,50.6
29,1.208333333,46.20833333,0.739711083,50.6
30,1.25,46.25,0.760976778,50.6
31,1.291666667,46.29166667,0.781993013,50.6
32,1.333333333,46.33333333,0.802762713,50.6
33,1.375,46.375,0.823288771,50.6
34,1.416666667,46.41666667,0.843574045,50.6
35,1.458333333,46.45833333,0.863621359,50.6
36,1.5,46.5,0.883433506,50.6
37,1.541666667,46.54166667,0.903013243,50.6
38,1.583333333,46.58333333,0.922363297,50.6
39,1.625,46.625,0.941486362,50.6
40,1.666666667,46.66666667,0.960385101,50.6
41,1.708333333,46.70833333,0.979062145,50.6
42,1.75,46.75,0.997520096,50.6
43,1.791666667,46.79166667,1.015761523,50.6
44,1.833333333,46.83333333,1.033788966,50.6
45,1.875,46.875,1.051604935,50.6
46,1.916666667,46.91666667,1.069211911,50.6
47,1.958333333,46.95833333,1.086612346,50.6
48,2,47,1.103808663,50.6
49,2.041666667,47.04166667,1.120803255,50.6
50,2.083333333,47.08333333,1.13759849,50.6
51,2.125,47.125,1.154196706,50.6
52,2.166666667,47.16666667,1.170600214,50.6
53,2.208333333,47.20833333,1.186811298,50.6
54,2.25,47.25,1.202832215,50.6
55,2.291666667,47.29166667,1.218665197,50.6
56,2.333333333,47.33333333,1.234312447,50.6
57,2.375,47.375,1.249776145,50.6
58,2.416666667,47.41666667,1.265058443,50.6
59,2.458333333,47.45833333,1.280161471,50.6
60,2.5,47.5,1.29508733,50.6
61,2.541666667,47.54166667,1.309838098,50.6
62,2.583333333,47.58333333,1.324415831,50.6
63,2.625,47.625,1.338822557,50.6
64,2.666666667,47.66666667,1.353060283,50.6
65,2.708333333,47.70833333,1.367130992,50.6
66,2.75,47.75,1.381036641,50.6
67,2.791666667,47.79166667,1.394779169,50.6
68,2.833333333,47.83333333,1.408360487,50.6
69,2.875,47.875,1.421782488,50.6
70,2.916666667,47.91666667,1.43504704,50.6
71,2.958333333,47.95833333,1.44815599,50.6
72,3,48,1.461111163,50.6
73,3.041666667,48.04166667,1.443971375,50.6
74,3.083333333,48.08333333,1.427032648,50.6
75,3.125,48.125,1.410292623,50.6
76,3.166666667,48.16666667,1.39374897,50.6
77,3.208333333,48.20833333,1.377399384,50.6
78,3.25,48.25,1.36124159,50.6
79,3.291666667,48.29166667,1.345273337,50.6
80,3.333333333,48.33333333,1.329492402,50.6
81,3.375,48.375,1.313896588,50.6
82,3.416666667,48.41666667,1.298483723,50.6
83,3.458333333,48.45833333,1.283251661,50.6
84,3.5,48.5,1.268198281,50.6
85,3.541666667,48.54166667,1.253321487,50.6
86,3.583333333,48.58333333,1.238619208,50.6
87,3.625,48.625,1.224089395,50.6
88,3.666666667,48.66666667,1.209730027,50.6
89,3.708333333,48.70833333,1.195539104,50.6
90,3.75,48.75,1.18151465,50.6
91,3.791666667,48.79166667,1.167654711,50.6
92,3.833333333,48.83333333,1.153957359,50.6
93,3.875,48.875,1.140420686,50.6
94,3.916666667,48.91666667,1.127042806,50.6
95,3.958333333,48.95833333,1.113821858,50.6
96,4,49,1.100756,50.6
97,4.041666667,49.04166667,1.087843414,50.6
98,4.083333333,49.08333333,1.0750823,50.6
99,4.125,49.125,1.062470883,50.6
100,4.166666667,49.16666667,1.050007405,50.6
101,4.208333333,49.20833333,1.037690133,50.6
102,4.25,49.25,1.02551735,50.6
103,4.291666667,49.29166667,1.013487362,50.6
104,4.333333333,49.33333333,1.001598493,50.6
105,4.375,49.375,0.989849089,50.6
106,4.416666667,49.41666667,0.978237512,50.6
107,4.458333333,49.45833333,0.966762148,50.6
108,4.5,49.5,0.955421396,50.6
109,4.541666667,49.54166667,0.944213679,50.6
110,4.583333333,49.58333333,0.933137436,50.6
111,4.625,49.625,0.922191125,50.6
112,4.666666667,49.66666667,0.911373221,50.6
113,4.708333333,49.70833333,0.900682218,50.6
114,4.75,49.75,0.890116627,50.6
115,4.791666667,49.79166667,0.879674978,50.6
116,4.833333333,49.83333333,0.869355816,50.6
117,4.875,49.875,0.859157704,50.6
118,4.916666667,49.91666667,0.849079223,50.6
119,4.958333333,49.95833333,0.83911897,50.6
120,5,50,0.829275556,50.6
121,5.041666667,50.04166667,0.819547612,50.6
122,5.083333333,50.08333333,0.809933784,50.6
123,5.125,50.125,0.800432732,50.6
124,5.166666667,50.16666667,0.791043133,50.6
125,5.208333333,50.20833333,0.78176368,50.6
126,5.25,50.25,0.772593082,50.6
127,5.291666667,50.29166667,0.76353006,50.6
128,5.333333333,50.33333333,0.754573354,50.6
129,5.375,50.375,0.745721716,50.6
130,5.416666667,50.41666667,0.736973913,50.6
131,5.458333333,50.45833333,0.728328728,50.6
132,5.5,50.5,0.719784956,50.6
133,5.541666667,50.54166667,0.711341409,50.6
134,5.583333333,50.58333333,0.70299691,50.6
135,5.625,50.625,0.694750297,50.6
136,5.666666667,50.66666667,0.686600422,50.6
137,5.708333333,50.70833333,0.678546151,50.6
138,5.75,50.75,0.670586361,50.6
139,5.791666667,50.79166667,0.662719945,50.6
140,5.833333333,50.83333333,0.654945808,50.6
141,5.875,50.875,0.647262866,50.6
142,5.916666667,50.91666667,0.63967005,50.6
143,5.958333333,50.95833333,0.632166302,50.6
144,6,51,0.624750579,50.6
145,6.041666667,51.04166667,0.617421846,50.6
146,6.083333333,51.08333333,0.610179085,50.6
147,6.125,51.125,0.603021286,50.6
148,6.166666667,51.16666667,0.595947452,50.6
149,6.208333333,51.20833333,0.588956599,50.6
150,6.25,51.25,0.582047754,50.6
151,6.291666667,51.29166667,0.575219954,50.6
152,6.333333333,51.33333333,0.568472248,50.6
153,6.375,51.375,0.561803697,50.6
154,6.416666667,51.41666667,0.555213373,50.6
155,6.458333333,51.45833333,0.548700358,50.6
156,6.5,51.5,0.542263744,50.6
157,6.541666667,51.54166667,0.535902636,50.6
158,6.583333333,51.58333333,0.529616148,50.6
159,6.625,51.625,0.523403405,50.6
160,6.666666667,51.66666667,0.517263541,50.6
161,6.708333333,51.70833333,0.511195702,50.6
162,6.75,51.75,0.505199043,50.6
163,6.791666667,51.79166667,0.499272728,50.6
164,6.833333333,51.83333333,0.493415933,50.6
165,6.875,51.875,0.487627842,50.6
166,6.916666667,51.91666667,0.481907649,50.6
167,6.958333333,51.95833333,0.476254557,50.6
168,7,52,0.47066778,50.6
